1	AD	Andorra la Vella	42.50779	1.52109	20430
2	AD	Arinsal	42.57205	1.48453	1419
3	AD	Canillo	42.56667	1.6	3292
4	AD	Encamp	42.53333	1.58333	11223
5	AD	la Massana	42.54499	1.51483	7211
6	AD	les Escaldes	42.50729	1.53414	15853
7	AD	Ordino	42.55623	1.53319	3066
8	AD	Pas de la Casa	42.54277	1.73361	2363
9	AD	Sant Julia de Loria	42.46372	1.49129	8022
10	AE	Abu Dhabi	24.46667	54.36667	603492
11	AE	Adh Dhayd	25.28222	55.89028	24716
12	AE	`Ajman	25.41111	55.43504	226172
13	AE	Al `Ayn	24.19167	55.76056	408733
14	AE	Al Fujayrah	25.12306	56.3375	62415
15	AE	Ar Ruways	24.11028	52.73056	16000
16	AE	Diba	25.61667	56.26667	26395
17	AE	Dubai	25.25222	55.28	1137347
18	AE	Khawr Fakkan	25.33917	56.35611	33575
19	AE	Muzayri`	23.13861	53.78722	10000
20	AE	Ra's al Khaymah	25.79111	55.94278	115949
21	AE	Sharjah	25.36222	55.39111	543733
22	AE	Umm al Qaywayn	25.56528	55.55333	44411
23	AF	Aibak	36.26468	68.01551	47823
24	AF	`Alaqahdari Deh-e Shu	30.43741	63.31298	9196
25	AF	Anar Darah	32.7587	61.65397	10023
26	AF	Andkhoy	36.95293	65.12376	29208
27	AF	Arghestan	31.55981	66.48926	30500
28	AF	Art Khwajah	37.08571	69.47958	18623
29	AF	Ashkasham	36.68333	71.53333	12120
30	AF	Asmar	35.03319	71.3577	15708
31	AF	Baghlan	36.13068	68.70829	108449
32	AF	Balkh	36.75635	66.8972	114883
33	AF	Baraki Barak	33.9675	68.94861	22305
34	AF	Basowl	34.24749	70.87218	6835
35	AF	Chahar Burj	34.24475	62.19165	11935
36	AF	Charikar	35.01361	69.17139	53676
37	AF	Chiras	35.41674	65.98234	12779
38	AF	Cool urhajo	34.26545	67.34516	58525
39	AF	Darz Ab	35.97744	65.37828	9642
40	AF	Dasht-e Archi	37.13333	69.16667	8263
41	AF	Farah	32.37451	62.11638	43561
42	AF	Farkhar	36.57288	69.85783	10480
43	AF	Fayzabad	37.11664	70.58002	44421
44	AF	Gardez	33.59744	69.22592	103601
45	AF	Ghazni	33.55356	68.42689	141000
46	AF	Ghormach	35.73062	63.78264	30000
47	AF	Girishk	31.82089	64.57005	43588
48	AF	Herat	34.34817	62.19967	272806
49	AF	Hukumati Azrow	34.17355	69.64573	12526
50	AF	Hukumati Dahanah-ye Ghori	35.90617	68.48869	3307
51	AF	Imam Sahib	37.18897	68.93644	9659
52	AF	Islam Qal`ah	34.66667	61.06667	18086
53	AF	Jabal os Saraj	35.11833	69.23778	15032
54	AF	Jalalabad	34.42647	70.45153	200331
55	AF	Jarm	36.86477	70.83421	12106
56	AF	Kabul	34.52813	69.17233	3043532
57	AF	Kandahar	31.61332	65.71013	391190
58	AF	Karukh	34.48108	62.5863	17484
59	AF	Khanabad	36.6825	69.11556	71531
60	AF	Khandud	36.94889	72.31694	5521
61	AF	Khash	31.52919	62.79055	15133
62	AF	Khost	33.33951	69.92041	96123
63	AF	Kohistan	34.65389	61.19778	12087
64	AF	Kunduz	36.72896	68.857	161902
65	AF	Kushk	33.29565	61.95221	16952
66	AF	Lab-Sar	36.02634	66.83799	1068
67	AF	Larkird	35.48936	66.66409	11635
68	AF	Lashkar Gah	31.59382	64.37161	43934
69	AF	Maidan Shahr	34.39561	68.86618	1600
70	AF	Markaz-e Hukumati Darwayshan	31.13232	64.1934	9012
71	AF	Markaz-e Woluswali-ye Achin	34.12583	70.70778	15098
